Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
12346.0,326,17,-64.67999999999302,2,5,1,251,Lost
12347.0,2,8,5633.32,5,4,5,545,Loyal
12348.0,75,5,2019.4,3,3,4,334,Loyal
12349.0,19,5,4404.54,4,3,5,435,Loyal
12350.0,310,1,334.4,2,1,2,212,Lost
12351.0,375,1,300.93,2,1,2,212,Lost
12352.0,36,13,1889.21,4,5,4,454,Loyal
12353.0,204,2,406.76,2,2,2,222,Loyal
12354.0,232,1,1079.4,2,1,3,213,Loyal
12355.0,214,2,947.61,2,2,3,223,Loyal
12356.0,23,6,6373.68,4,4,5,445,Loyal
12357.0,33,3,18287.66,4,2,5,425,Loyal
12358.0,2,5,3887.07,5,3,5,535,Loyal
12359.0,8,14,8714.89,5,5,5,555,Loyal
12360.0,52,9,4212.89,4,4,5,445,Loyal
12361.0,287,4,511.25,2,3,2,232,Lost
12362.0,3,14,5284.58,5,5,5,555,Loyal
12363.0,110,2,552.0,3,2,2,322,Loyal
12364.0,8,4,1313.1,5,3,4,534,Loyal
12365.0,291,3,320.69,2,2,2,222,Lost
12366.0,634,1,500.24,1,1,2,112,Lost
12367.0,4,1,168.9,5,1,1,511,Loyal
12368.0,628,1,917.6999999999999,1,1,3,113,Lost
12369.0,413,3,1791.15,2,2,4,224,Lost
12370.0,51,7,4320.31,4,4,5,445,Loyal
12371.0,45,5,4067.38,4,3,5,435,Loyal
12372.0,72,3,1298.04,3,2,4,324,Loyal
12373.0,311,3,1127.65,2,2,3,223,Lost
12374.0,25,4,2989.2200000000003,4,3,5,435,Loyal
12375.0,3,3,455.42,5,2,2,522,Loyal
12376.0,390,2,503.15,2,2,2,222,Lost
12377.0,315,4,3426.32,2,3,5,235,Lost
12378.0,130,2,5416.32,3,2,5,325,Loyal
12379.0,82,5,1618.27,3,3,4,334,Loyal
12380.0,22,15,7888.0,4,5,5,455,Loyal
12381.0,5,6,1803.96,5,4,4,544,Loyal
12382.0,682,1,-18.38,1,1,1,111,Lost
12383.0,185,6,1839.31,3,4,4,344,Loyal
12384.0,29,3,566.16,4,2,2,422,Loyal
12385.0,379,2,1923.4,2,2,4,224,Lost
12386.0,338,2,660.8,2,2,3,223,Lost
12387.0,415,1,143.94,1,1,1,111,Lost
12388.0,16,8,3901.11,5,4,5,545,Loyal
12389.0,403,3,1433.33,2,2,4,224,Lost
12390.0,80,1,549.84,3,1,2,312,Loyal
12391.0,22,7,2747.82,4,4,4,444,Loyal
12392.0,591,1,234.75000000000003,1,1,1,111,Lost
12393.0,72,7,2376.75,3,4,4,344,Loyal
12394.0,64,2,1272.48,3,2,4,324,Loyal
12395.0,16,18,5046.92,5,5,5,555,Loyal
12396.0,674,1,931.43,1,1,3,113,Lost
12397.0,36,2,2409.9,4,2,4,424,Loyal
12398.0,46,1,1635.6599999999999,4,1,4,414,Loyal
12399.0,119,7,1962.3,3,4,4,344,Loyal
12400.0,414,1,205.25,2,1,1,211,Lost
12401.0,303,1,84.3,2,1,1,211,Lost
12402.0,323,7,1244.15,2,4,4,244,Lost
12403.0,50,3,1001.36,4,2,3,423,Loyal
12404.0,682,1,63.24,1,1,1,111,Lost
12405.0,149,1,1710.39,3,1,4,314,Loyal
12406.0,22,7,6072.21,4,4,5,445,Loyal
12407.0,50,5,1708.1200000000001,4,3,4,434,Loyal
12408.0,33,14,4279.64,4,5,5,455,Loyal
12409.0,79,13,23090.47,3,5,5,355,Loyal
12410.0,301,4,1001.46,2,3,3,233,Lost
12411.0,410,1,346.9,2,1,2,212,Lost
12412.0,75,8,2581.03,3,4,4,344,Loyal
12413.0,67,6,935.5,3,4,3,343,Loyal
12414.0,217,8,692.41,2,4,3,243,Loyal
12415.0,24,33,143269.29,4,5,5,455,Champions
12416.0,657,1,202.56,1,1,1,111,Lost
12417.0,3,27,6708.21,5,5,5,555,Loyal
12418.0,113,5,2016.95,3,3,4,334,Loyal
12419.0,386,2,503.01,2,2,2,222,Lost
12420.0,64,1,600.39,3,1,3,313,Loyal
12421.0,16,8,1092.83,5,4,3,543,Loyal
12422.0,96,21,4119.35,3,5,5,355,Loyal
12423.0,1,11,2612.19,5,5,4,554,Loyal
12424.0,163,7,3289.78,3,4,5,345,Loyal
12425.0,78,3,1680.81,3,2,4,324,Loyal
12426.0,195,3,1311.41,2,2,4,224,Loyal
12427.0,12,5,1011.87,5,3,3,533,Loyal
12428.0,26,12,7877.2,4,5,5,455,Loyal
12429.0,9,9,7435.51,5,4,5,545,Loyal
12430.0,43,1,256.4,4,1,1,411,Loyal
12431.0,36,33,10719.41,4,5,5,455,Loyal
12432.0,43,5,5059.32,4,3,5,435,Loyal
12433.0,1,11,20428.86,5,5,5,555,Loyal
12434.0,85,5,1062.48,3,3,3,333,Loyal
12435.0,80,6,13925.93,3,4,5,345,Loyal
12436.0,100,1,509.01,3,1,2,312,Loyal
12437.0,2,47,12394.85,5,5,5,555,Loyal
12438.0,14,2,2906.85,5,2,5,525,Loyal
12439.0,683,3,1104.48,1,2,3,123,Lost
12440.0,457,3,768.15,1,2,3,123,Lost
12441.0,367,1,347.1,2,1,2,212,Lost
12442.0,3,1,172.06,5,1,1,511,Loyal
12443.0,732,1,485.31,1,1,2,112,Lost
12444.0,21,5,5005.46,4,3,5,435,Loyal
12445.0,22,3,426.48,4,2,2,422,Loyal
12446.0,58,1,1002.3100000000001,4,1,3,413,Loyal
12447.0,243,1,476.49,2,1,2,212,Loyal
12448.0,44,1,449.45,4,1,2,412,Loyal
12449.0,22,6,4835.89,4,4,5,445,Loyal
12450.0,156,7,666.95,3,4,3,343,Loyal
12451.0,11,10,12546.53,5,4,5,545,Loyal
12452.0,17,3,428.57,5,2,2,522,Loyal
12453.0,134,1,707.09,3,1,3,313,Loyal
12454.0,53,9,4292.71,4,4,5,445,Loyal
12455.0,73,10,5879.95,3,4,5,345,Loyal
12456.0,44,4,3153.89,4,3,5,435,Loyal
12457.0,58,14,2472.31,4,5,4,454,Loyal
12458.0,71,4,1777.49,3,3,4,334,Loyal
12459.0,605,1,454.36,1,1,2,112,Lost
12460.0,456,1,326.65,1,1,2,112,Lost
12461.0,94,2,826.88,3,2,3,323,Loyal
12462.0,2,4,1124.01,5,3,3,533,Loyal
12463.0,46,7,1303.63,4,4,4,444,Loyal
12464.0,10,8,1212.05,5,4,4,544,Loyal
12465.0,8,3,733.89,5,2,3,523,Loyal
12466.0,682,1,56.73,1,1,1,111,Lost
12467.0,386,2,0.0,2,2,1,221,Lost
12468.0,143,10,3624.55,3,4,5,345,Loyal
12469.0,523,2,3070.54,1,2,5,125,Lost
12470.0,690,1,211.95,1,1,1,111,Lost
12471.0,2,129,37948.61,5,5,5,555,Champions
12472.0,31,37,16956.69,4,5,5,455,Loyal
12473.0,29,9,2848.23,4,4,4,444,Loyal
12474.0,17,54,11966.45,5,5,5,555,Loyal
12475.0,54,2,1149.64,4,2,3,423,Loyal
12476.0,1,38,13715.62,5,5,5,555,Loyal
12477.0,23,12,20173.64,4,5,5,455,Loyal
12478.0,4,1,680.99,5,1,3,513,Loyal
12479.0,4,3,477.3,5,2,2,522,Loyal
12480.0,28,8,5435.1,4,4,5,445,Loyal
12481.0,23,18,12217.03,4,5,5,455,Loyal
12482.0,450,32,21893.53,1,5,5,155,Lost
12483.0,17,27,4846.87,5,5,5,555,Loyal
12484.0,33,16,6303.85,4,5,5,455,Loyal
12485.0,529,1,708.1,1,1,3,113,Lost
12486.0,432,1,1037.28,1,1,3,113,Lost
12487.0,731,2,259.79999999999995,1,2,2,122,Lost
12488.0,10,3,1298.66,5,2,4,524,Loyal
12489.0,336,1,334.93,2,1,2,212,Lost
12490.0,5,22,9818.64,5,5,5,555,Loyal
12491.0,39,1,460.40000000000003,4,1,2,412,Loyal
12492.0,63,3,715.21,3,2,3,323,Loyal
12493.0,166,3,416.79,3,2,2,322,Loyal
12494.0,10,17,1743.52,5,5,4,554,Loyal
12495.0,635,2,323.4,1,2,2,122,Lost
12496.0,620,2,54.09,1,2,1,121,Lost
12497.0,82,4,6211.75,3,3,5,335,Loyal
12498.0,21,3,403.70000000000005,4,2,2,422,Loyal
12499.0,560,1,393.72,1,1,2,112,Lost
12500.0,23,25,5872.31,4,5,5,455,Loyal
12501.0,315,2,2089.68,2,2,4,224,Lost
12502.0,96,5,3723.87,3,3,5,335,Loyal
12503.0,338,2,0.0,2,2,1,221,Lost
12504.0,18,6,411.0,5,4,2,542,Loyal
12505.0,301,3,908.0,2,2,3,223,Lost
12506.0,233,1,73.5,2,1,1,211,Loyal
12507.0,134,5,1797.31,3,3,4,334,Loyal
12508.0,26,2,398.27,4,2,2,422,Loyal
12509.0,284,1,176.5,2,1,1,211,Lost
12510.0,143,16,3689.33,3,5,5,355,Loyal
12511.0,415,2,3065.77,1,2,5,125,Lost
12512.0,66,2,138.03,3,2,1,321,Loyal
12513.0,85,2,586.79,3,2,3,323,Loyal
12514.0,267,2,1597.76,2,2,4,224,Lost
12515.0,353,1,383.7,2,1,2,212,Lost
12516.0,78,4,2648.62,3,3,4,334,Loyal
12517.0,28,6,2464.89,4,4,4,444,Loyal
12518.0,1,5,2056.89,5,3,4,534,Loyal
12519.0,64,3,695.19,3,2,3,323,Loyal
12520.0,79,6,2582.51,3,4,4,344,Loyal
12521.0,143,1,599.68,3,1,3,313,Loyal
12522.0,39,2,192.72,4,2,1,421,Loyal
12523.0,2,30,4220.85,5,5,5,555,Loyal
12524.0,9,18,11091.36,5,5,5,555,Loyal
12525.0,491,8,835.1800000000001,1,4,3,143,Lost
12526.0,1,3,1316.66,5,2,4,524,Loyal
12527.0,82,5,735.51,3,3,3,333,Loyal
12528.0,9,8,1922.28,5,4,4,544,Loyal
12529.0,523,2,311.78000000000003,1,2,2,122,Lost
12530.0,60,12,3689.86,3,5,5,355,Loyal
12531.0,15,3,1899.05,5,2,4,524,Loyal
12532.0,30,1,349.83000000000004,4,1,2,412,Loyal
12533.0,619,6,1149.99,1,4,3,143,Lost
12534.0,131,1,1089.18,3,1,3,313,Loyal
12535.0,92,2,716.35,3,2,3,323,Loyal
12536.0,8,5,4106.82,5,3,5,535,Loyal
12537.0,409,1,732.94,2,1,3,213,Lost
12538.0,29,2,640.45,4,2,3,423,Loyal
12539.0,22,8,9498.9,4,4,5,445,Loyal
12540.0,20,36,22107.29,4,5,5,455,Loyal
12541.0,30,3,981.18,4,2,3,423,Loyal
12542.0,484,4,423.38,1,3,2,132,Lost
12543.0,448,1,980.25,1,1,3,113,Lost
12544.0,30,2,355.7,4,2,2,422,Loyal
12545.0,75,2,1000.39,3,2,3,323,Loyal
12546.0,47,3,1141.5,4,2,3,423,Loyal
12547.0,198,3,383.58,2,2,2,222,Loyal
12548.0,166,1,95.19999999999999,3,1,1,311,Loyal
12549.0,576,6,1575.68,1,4,4,144,Lost
12550.0,79,1,964.83,3,1,3,313,Loyal
12551.0,358,1,168.0,2,1,1,211,Lost
12552.0,39,2,437.82,4,2,2,422,Loyal
12553.0,8,17,4548.82,5,5,5,555,Loyal
12554.0,449,1,468.5,1,1,2,112,Lost
12555.0,682,1,129.23,1,1,1,111,Lost
12556.0,50,2,603.71,4,2,3,423,Loyal
12557.0,16,8,18716.14,5,4,5,545,Loyal
